"year		month		H(h)_m"
"2005		Jan		43.79"
"2005		Feb		59.45"
"2005		Mar		114.23"
"2005		Apr		137.28"
"2005		May		162.08"
"2005		Jun		200.12"
"2005		Jul		199.37"
"2005		Aug		173.09"
"2005		Sep		124.9"
"2005		Oct		87.64"
"2005		Nov		56.1"
"2005		Dec		41.86"
"2006		Jan		45.8"
"2006		Feb		66.93"
"2006		Mar		112.67"
"2006		Apr		152.9"
"2006		May		183.05"
"2006		Jun		211.61"
"2006		Jul		208.23"
"2006		Aug		168.0"
"2006		Sep		128.09"
"2006		Oct		93.76"
"2006		Nov		62.92"
"2006		Dec		48.0"
"2007		Jan		48.96"
"2007		Feb		56.25"
"2007		Mar		100.29"
"2007		Apr		157.28"
"2007		May		146.52"
"2007		Jun		178.37"
"2007		Jul		179.39"
"2007		Aug		163.02"
"2007		Sep		144.2"
"2007		Oct		87.03"
"2007		Nov		60.14"
"2007		Dec		46.32"
"2008		Jan		46.6"
"2008		Feb		87.59"
"2008		Mar		88.34"
"2008		Apr		149.63"
"2008		May		143.62"
"2008		Jun		172.54"
"2008		Jul		188.21"
"2008		Aug		157.98"
"2008		Sep		135.84"
"2008		Oct		89.88"
"2008		Nov		42.74"
"2008		Dec		40.59"
"2009		Jan		40.7"
"2009		Feb		73.01"
"2009		Mar		122.09"
"2009		Apr		105.58"
"2009		May		164.43"
"2009		Jun		188.3"
"2009		Jul		184.62"
"2009		Aug		168.98"
"2009		Sep		133.77"
"2009		Oct		95.42"
"2009		Nov		53.22"
"2009		Dec		40.98"
"2010		Jan		48.53"
"2010		Feb		66.54"
"2010		Mar		115.34"
"2010		Apr		165.71"
"2010		May		150.6"
"2010		Jun		167.81"
"2010		Jul		191.04"
"2010		Aug		177.75"
"2010		Sep		130.08"
"2010		Oct		93.84"
"2010		Nov		46.75"
"2010		Dec		45.33"
"2011		Jan		52.55"
"2011		Feb		66.08"
"2011		Mar		113.33"
"2011		Apr		170.29"
"2011		May		186.53"
"2011		Jun		162.55"
"2011		Jul		175.6"
"2011		Aug		173.44"
"2011		Sep		135.51"
"2011		Oct		105.87"
"2011		Nov		56.24"
"2011		Dec		41.34"
"2012		Jan		49.09"
"2012		Feb		73.02"
"2012		Mar		134.81"
"2012		Apr		122.3"
"2012		May		179.41"
"2012		Jun		182.26"
"2012		Jul		196.6"
"2012		Aug		181.56"
"2012		Sep		125.67"
"2012		Oct		86.84"
"2012		Nov		52.83"
"2012		Dec		47.18"
"2013		Jan		41.05"
"2013		Feb		69.62"
"2013		Mar		112.58"
"2013		Apr		123.63"
"2013		May		139.06"
"2013		Jun		158.95"
"2013		Jul		210.34"
"2013		Aug		182.43"
"2013		Sep		124.35"
"2013		Oct		87.17"
"2013		Nov		42.57"
"2013		Dec		52.53"
"2014		Jan		48.48"
"2014		Feb		66.11"
"2014		Mar		120.18"
"2014		Apr		140.93"
"2014		May		166.23"
"2014		Jun		200.07"
"2014		Jul		170.21"
"2014		Aug		163.69"
"2014		Sep		146.92"
"2014		Oct		111.77"
"2014		Nov		55.2"
"2014		Dec		39.23"
"2015		Jan		51.53"
"2015		Feb		65.87"
"2015		Mar		100.35"
"2015		Apr		156.56"
"2015		May		161.81"
"2015		Jun		198.4"
"2015		Jul		196.37"
"2015		Aug		170.47"
"2015		Sep		132.21"
"2015		Oct		95.27"
"2015		Nov		60.74"
"2015		Dec		57.2"
"2016		Jan		46.28"
"2016		Feb		63.61"
"2016		Mar		104.81"
"2016		Apr		136.91"
"2016		May		164.79"
"2016		Jun		169.65"
"2016		Jul		194.02"
"2016		Aug		183.45"
"2016		Sep		139.57"
"2016		Oct		82.55"
"2016		Nov		48.99"
"2016		Dec		53.83"
"2017		Jan		52.54"
"2017		Feb		70.13"
"2017		Mar		109.95"
"2017		Apr		172.93"
"2017		May		179.72"
"2017		Jun		191.27"
"2017		Jul		166.01"
"2017		Aug		167.39"
"2017		Sep		125.0"
"2017		Oct		100.82"
"2017		Nov		61.0"
"2017		Dec		42.9"
"2018		Jan		42.56"
"2018		Feb		65.46"
"2018		Mar		105.63"
"2018		Apr		146.99"
"2018		May		145.44"
"2018		Jun		179.77"
"2018		Jul		214.25"
"2018		Aug		184.13"
"2018		Sep		149.78"
"2018		Oct		86.52"
"2018		Nov		59.49"
"2018		Dec		39.52"
"2019		Jan		44.34"
"2019		Feb		86.64"
"2019		Mar		129.23"
"2019		Apr		141.89"
"2019		May		170.23"
"2019		Jun		186.96"
"2019		Jul		201.35"
"2019		Aug		183.9"
"2019		Sep		140.14"
"2019		Oct		84.25"
"2019		Nov		52.11"
"2019		Dec		43.31"
"2020		Jan		53.22"
"2020		Feb		77.1"
"2020		Mar		119.08"
"2020		Apr		144.54"
"2020		May		192.96"
"2020		Jun		177.63"
"2020		Jul		204.88"
"2020		Aug		173.7"
"2020		Sep		131.05"
"2020		Oct		75.26"
"2020		Nov		66.47"
"2020		Dec		37.15"
